-- NanamiOS SDK record --		

	When working on the OS, place each build record in here.
You update this file when you enter the terminal and perform an
action in the makefile. I should note that you probably should
be using Linux (preferably, Ubuntu Linux or Linux Mint, Mint is
recommended but I'm using Ubuntu Linux 23.04) to do the work on
this OS directly (like the kernel, interrupts, drivers, and the
ISO disc image.

date				ver		target/topic		action
2023 Nov. 19 02:16 PM EST	1.00.27B	NanamiOS BIN File	Renamed current BIN to "sphxkskernel_1.00.27b.bin"
2023 Nov. 19 02:11 PM EST	1.00.27B	NanamiOS ISO File	Renamed current ISO to "NanamiOS_1.00.27B.iso"
2023 Nov. 19 02:14 PM EST	1.00.27B	Makefile		Compiled nanami_os.iso successfully.
2023 Nov. 19 02:14 PM EST	1.00.27B	Makefile		Compiled sphxkskernel.bin successfully.
2023 Nov. 19 02:14 PM EST	1.00.27B	Makefile		Compiled src._.kernel.o successfully.
2023 Nov. 19 02:12 PM EST	1.00.27A	NanamiOS BIN File	Renamed current BIN to "sphxkskernel_1.00.27a.bin"
2023 Nov. 19 02:12 PM EST	1.00.26B	NanamiOS BIN File	Removed this BIN.
2023 Nov. 19 02:12 PM EST	1.00.26A	NanamiOS BIN File	Removed this BIN.
2023 Nov. 19 02:11 PM EST	1.00.26B	NanamiOS ISO File	Removed this ISO.
2023 Nov. 19 02:11 PM EST	1.00.26A	NanamiOS ISO File	Removed this ISO.
2023 Nov. 19 02:11 PM EST	1.00.27		NanamiOS ISO File	Renamed current ISO to "NanamiOS_1.00.27A.iso"
2023 Nov. 19 02:10 PM EST	1.00.27		Makefile		Compiled nanami_os.iso successfully.
2023 Nov. 19 02:09 PM EST	1.00.27		Makefile		Compiled sphxkskernel.bin successfully.
2023 Nov. 19 02:09 PM EST	1.00.27		Makefile		Compiled src._.kernel.o successfully.
2023 Nov. 19 02:08 PM EST	1.00.27		Makefile		Compiled src.hwcom.pci.o successfully.
2023 Nov. 19 02:05 PM EST	1.00.27		Error Details		src.hwcom.pci.cpp:141:9: error: expected primary-expression before '}' token
2023 Nov. 19 02:05 PM EST	1.00.27		Makefile		Errors encountered while compiling "src.hwcom.pci.cpp"
2023 Nov. 19 02:04 PM EST	1.00.27		Makefile		src._.kernel.o can't be compiled due to errors in src.hwcom.pci.cpp
2023 Nov. 19 02:03 PM EST	1.00.27		Makefile		Compiled src.drivers.keyboard.o successfully.
2023 Nov. 19 02:01 PM EST	1.00.27		Error Details		src.hwcom.pci.cpp:141:9: error: expected primary-expression before '}' token
2023 Nov. 19 02:01 PM EST	1.00.27		Error Details		src.hwcom.pci.cpp:85:49: error: expected ')' before 'bar'
2023 Nov. 19 02:01 PM EST	1.00.27		Error Details		src.hwcom.pci.cpp:85:50: error: expected primary-expression before 'bar'
2023 Nov. 19 02:01 PM EST	1.00.27		Makefile		Errors encountered while compiling "src.hwcom.pci.cpp"
2023 Nov. 17 01:13 PM EST	1.00.27		General NanamiOS	Build ready for initial compile attempt
2023 Nov. 17 07:51 AM EST	1.00.27		Makefile		Removed "src.nanamicl.cmds.about.o" from the makefile config.
2023 Nov. 16 02:25 PM EST	1.00.27		Makefile		Same errors occuring.
2023 Nov. 16 02:24 PM EST	1.00.27		Error Details		8:7 - expected constructor, destructor, or type conversion before '(' token.
2023 Nov. 16 02:24 PM EST	1.00.27		Error Details		7:7 - expected constructor, destructor, or type conversion before '(' token.
2023 Nov. 16 02:24 PM EST	1.00.27		Makefile		Error occured while compiling "src.nanamicl.cmds.about.o".
2023 Nov. 16 02:22 PM EST	1.00.27		Error Details		8:7 - expected constructor, destructor, or type conversion before '(' token.
2023 Nov. 16 02:22 PM EST	1.00.27		Error Details		7:7 - expected constructor, destructor, or type conversion before '(' token.
2023 Nov. 16 02:22 PM EST	1.00.27		Makefile		Error occured while compiling "src.nanamicl.cmds.about.o".
2023 Nov. 16 02:19 PM EST	1.00.27		Error Details		6:7 - expected constructor, destructor, or type conversion before '(' token.
2023 Nov. 16 02:19 PM EST	1.00.27		Error Details		5:7 - expected constructor, destructor, or type conversion before '(' token.
2023 Nov. 16 02:19 PM EST	1.00.27		Makefile		Error occured while compiling "src.nanamicl.cmds.about.o".
2023 Nov. 16 12:39 PM EST	1.00.27		Warning			Do not configure the makefile to also be capable of compiling NanamiCL (NanamiOS Command Line). Alpha stages need to be finished first!
2023 Nov. 16 12:39 PM EST	1.00.27		NanamiCL		Created a base file.
2023 Nov. 16 12:36 PM EST	1.00.27		Warning			Do not configure the makefile to also be capable of compiling NanamiWM (NanamiOS Window Manager) YET. A basic VGA mode needs to be developed and so does the rest of the Alpha components. Maybe even Beta 1...
2023 Nov. 16 12:36 PM EST	1.00.27		NanamiWM		Created a base file.
2023 Nov. 16 08:04 AM EST	1.00.27		Roadmap			A fourth version of Steel OS, Steel OS 4, may be developed, under a development reset.
2023 Nov. 15 01:16 PM EST	1.00.27		General NanamiOS	Development break. Still working on BARs.
2023 Nov. 15 01:14 PM EST	1.00.27		Roadmap			Likely, after the main end of the tutorial, I'll consider "Alpha" to be complete. "Beta x" will focus on different aspects - 1, would be file management/FAT32, 2, would be networking, 3, would be a command line, and 4, a proper graphics mode.
2023 Nov. 15 11:40 AM EST	1.00.27		General NanamiOS	Uploaded today's OS news and did some PCI work.
2023 Nov. 15 09:46 AM EST	1.00.27		Build Docs/Code Record	Updated the build documentation for the 26 Series to add 26C and 26D.
2023 Nov. 15 09:43 AM EST	1.00.27		Roadmap			I might try to get more BIOS interaction added before RTP.
2023 Nov. 15 09:42 AM EST	1.00.27		General NanamiOS	Development didn't continue later yesterday... >_<
2023 Nov. 14 01:45 PM EST	1.00.27		General NanamiOS	Development to be on a brief break for now... To continue in a little bit of time!
2023 Nov. 14 01:39 PM EST	1.00.27		Note			The use of "RTP" means "Release To Public". The "M" in "RTM" is "Manufacturing", so I feel that because OEMs can ship this OS with PCs for free, "RTM" doesn't fit right with NanamiOS. And, just for spits and giggles, all "OEM" branches are gonna be referred to as "DSP" branches. Kyahaha, a bit of a REFERENCE to Nanami Madobe. DSP is similar licensing to OEM (it stands for "Delivery Service Partner"), and is aimed towards custom PC builders and PC clone makers.
